院校名称,院校ID
湖南应用技术学院,2533
湖南交通工程学院,1670
湖南软件职业技术大学,4147
广州商学院,2571
广州华立学院,4148
华南农业大学珠江学院,526
广州理工学院,1405
广州城市理工学院,4149
广州华商学院,4150
广东外语外贸大学南国商学院,601
新疆工程学院,528
新疆警察学院,1802
新疆天山职业技术大学,4151
济宁学院,638
山东石油化工学院,4152
山东英才学院,97
潍坊科技学院,243
齐鲁医药学院,2678
烟台南山学院,289
青岛恒星科技学院,2006
山东外国语职业技术大学,2397
山东工程职业技术大学,2836
山东外事职业大学,1910
山东现代学院,2766
山东华宇工学院,2239
青岛黄海学院,1631
昭通学院,793
普洱学院,899
滇西科技师范学院,1608
昆明文理学院,4153
云南经济管理学院,1488
云南工商学院,2293
哈尔滨体育学院,2140
无锡太湖学院,1638
西北大学现代学院,1036
西安建筑科技大学华清学院,932
陕西科技大学镐京学院,1123
陕西国际商贸学院,2110
西安欧亚学院,880
西安汽车职业大学,2506
西安信息职业大学,1290
西安交通工程学院,2839
贵州警察学院,2726
贵阳康养职业大学,4255
贵州黔南科技学院,4154
贵阳信息科技学院,4155
宁夏理工学院,2064
银川能源学院,2856
天津传媒学院,4156
天津商业大学宝德学院,513
天津医科大学临床医学院,568
北京科技大学天津学院,327
天津师范大学津沽学院,512
天津理工大学中环信息学院,82
天津财经大学珠江学院,325
天津天狮学院,609
长春光华学院,1027
长春财经学院,1165
长春大学旅游学院,2226
呼和浩特民族学院,911
内蒙古大学创业学院,1438
山西工学院,4157
晋中信息学院,4158
山西电子科技学院,4261
山西晋中理工学院,4159
山西科技学院,4160
山西医科大学晋祠学院,1449
山西财经大学华商学院,1342
运城职业技术大学,4262
沈阳城市学院,1980
大连科技学院,1253
辽宁师范大学海华学院,1327
沈阳城市建设学院,1024
辽宁中医药大学杏林学院,774
辽宁何氏医学院,1765
锦州医科大学医疗学院,2587
大连医科大学中山学院,2409
沈阳科技学院,238
大连东软信息学院,524
辽宁财贸学院,84
大连艺术学院,600
甘肃民族师范学院,226
兰州工商学院,4161
兰州信息科技学院,4162
广西民族师范学院,248
桂林学院,4163
桂林信息科技学院,4164
柳州工学院,4165
南宁师范大学师园学院,1455
广西民族大学相思湖学院,2342
广西中医药大学赛恩斯新医药学院,2167
浙大城市学院,4263
浙大宁波理工学院,4264
浙江工业大学之江学院,1042
浙江师范大学行知学院,92
宁波大学科学技术学院,69
杭州电子科技大学信息工程学院,2257
浙江理工大学科技与艺术学院,1714
浙江农林大学暨阳学院,1947
温州医科大学仁济学院,1412
浙江中医药大学滨江学院,1512
杭州师范大学钱江学院,2412
湖州学院,4166
绍兴文理学院元培学院,2680
温州理工学院,4167
浙江工商大学杭州商学院,692
中国计量大学现代科技学院,499
浙江财经大学东方学院,2066
嘉兴南湖学院,4168
温州商学院,2360
同济大学浙江学院,678
上海财经大学浙江学院,974
宁波财经学院,2228
浙江越秀外国语学院,1852
安徽大学江淮学院,2380
安徽师范大学皖江学院,2860
合肥经济学院,4169
安徽医科大学临床医学院,2473
马鞍山学院,2611
蚌埠工商学院,4170
淮北理工学院,4171
合肥城市学院,4172
安徽信息工程学院,1381
阜阳师范大学信息工程学院,2265
皖江工学院,375
厦门工学院,938
南昌大学科学技术学院,984
江西农业大学南昌商学院,1615
江西师范大学科学技术学院,1813
南昌交通学院,4173
赣南科技学院,4174
赣东学院,4175
南昌航空大学科技学院,1898
南昌医学院,4042
江西财经大学现代经济管理学院,1111
赣南师范大学科技学院,2866
景德镇艺术职业大学,4176
南昌应用技术师范学院,4177
南昌大学共青学院,688
安阳学院,2243
新乡工程学院,4178
郑州商学院,1920
郑州科技学院,64
河南科技职业大学,1789
武汉文理学院,4179
湖北工程学院新技术学院,2840
湖北恩施学院,4180
武汉传媒学院,1708
湖南第一师范学院,996
湖南师范大学树达学院,2479
湘潭理工学院,4181
湖南农业大学东方科技学院,1370
长沙理工大学城南学院,194
湖南科技大学潇湘学院,2595
湖南工业大学科技学院,1443
湘潭大学兴湘学院,2322
南华大学船山学院,2502
湖南文理学院芙蓉学院,1830
湖南理工学院南湖学院,1278
吉首大学张家界学院,2674
