专业名称,专业热度,ID
劳动关系,109308,637
国际商务,432359,395
审计学,857063,139
工商管理,1936221,896
市场营销,1728150,1115
市场营销教育,107786,360
文化产业管理,592694,214
海关稽查,1152,2685
物业管理,218431,587
财务会计教育,206916,1086
财务管理,1131674,1165
资产评估,300258,1220
零售业管理,27986,1261
保密管理,520357,841
信息管理与信息系统,985683,728
大数据管理与应用,535847,1268
工程审计,130830,1265
工程管理,1055635,252
工程造价,1596960,359
应急管理,113652,2586
房地产开发与管理,544662,192
管理科学,632260,1122
计算金融,120797,1266
邮政管理,75200,1267
会展经济与管理,480395,211
旅游管理,810510,418
旅游管理与服务教育,141308,204
酒店管理,529112,233
交通管理,389669,1143
健康服务与管理,184887,1262
公共事业管理,689512,1125
公共关系学,228669,476
养老服务管理,70578,2588
劳动与社会保障,291320,368
医疗产品管理,44606,1263
医疗保险,30685,2587
土地资源管理,264289,465
城市管理,209959,912
慈善管理,374,2660
无障碍管理,0,2679
海事管理,123840,582
海关检验检疫安全,55041,2643
海关管理,462576,1228
海外安全管理,32167,2644
海警后勤管理,22560,1264
自然资源登记与管理,30870,2645
航空安防管理,0,2675
行政管理,773413,1058
电子商务,1201547,414
电子商务及法律,344524,953
跨境电子商务,91856,2589
供应链管理,135672,1260
物流工程,260655,1097
物流管理,952016,847
采购管理,349448,542
信息资源管理,255604,1179
图书馆学,310054,757
档案学,377156,758
工业工程,401743,1051
标准化工程,359638,971
质量管理工程,394950,788
动画,584095,141
广播电视编导,655357,840
录音艺术,216235,337
影视技术,63183,1259
影视摄影与制作,636302,810
戏剧学,149777,716
戏剧影视导演,392523,527
戏剧影视文学,286788,70
戏剧影视美术设计,258569,1212
戏剧教育,19363,1258
播音与主持艺术,743767,234
曲艺,324,2682
电影学,527568,1204
表演,316106,572
音乐剧,422,2683
中国画,477379,504
书法学,365536,390
实验艺术,76688,1253
摄影,320147,156
文物保护与修复,109260,1254
漫画,140750,1255
科技艺术,355,2651
纤维艺术,27509,2669
绘画,307765,1171
美术学,764701,488
美术教育,7415,2670
跨媒体艺术,83357,1256
雕塑,141455,786
产品设计,674792,264
公共艺术,436350,902
包装设计,82617,1250
工艺美术,471078,1072
数字媒体艺术,649928,983
新媒体艺术,141515,1252
服装与服饰设计,528615,1185
环境设计,769239,935
珠宝首饰设计与工艺,877,2666
艺术与科技,384137,431
艺术设计学,1006050,986
视觉传达设计,977734,515
陶瓷艺术设计,43694,1251
作曲与作曲技术理论,135836,941
流行舞蹈,36919,1248
流行音乐,68177,1247
舞蹈学,179633,905
舞蹈教育,71271,1249
舞蹈编导,150546,638
舞蹈表演,532870,373
航空服务艺术与管理,136466,1246
音乐学,528814,1237
音乐教育,72089,2650
音乐治疗,67451,1245
音乐表演,504911,635
艺术史论,491876,926
艺术管理,195040,1257
非物质文化遗产保护,106516,2646
世界史,581898,436
历史学,1442856,1157
古文字学,90048,2629
外国语言与外国历史,530366,1175
文化遗产,153992,1244
文物与博物馆学,800873,682
文物保护技术,493007,282
科学史,10009,2668
考古学,1155885,995
伦理学,704940,987
哲学,2441690,681
宗教学,601416,1110
逻辑学,1065284,1027
未来机器人,0,2706
