展示名称,院校名称,院校 ID,院校曾用名,ID,创建人,创建时间,更新人,更新时间
广东科学技术职业学院,广东科学技术职业学院,185,,1785687489714267,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
郑州铁路职业技术学院,郑州铁路职业技术学院,186,,1785687489710123,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
常州纺织服装职业技术学院,常州纺织服装职业技术学院,187,,1785687489717323,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
郑州电子信息职业技术学院,郑州电子信息职业技术学院,188,,1785687489719467,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
广州体育学院,广州体育学院,189,,1785687489721403,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
平顶山工业职业技术学院,平顶山工业职业技术学院,190,,1785687489720411,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
湖北交通职业技术学院,湖北交通职业技术学院,191,,1785687489721355,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
九江职业技术学院,九江职业技术学院,192,,1785687489720443,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
兰州理工大学技术工程学院,兰州理工大学技术工程学院,193,,1785687489712155,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
长沙理工大学城南学院,长沙理工大学城南学院,194,,1785687489714283,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
大连职业技术学院,大连职业技术学院,195,,1785687489722379,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
汉口学院,汉口学院,196,,1785687489718363,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
长江大学工程技术学院,长江大学工程技术学院,197,,1785687489713163,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
中国人民解放军军事交通学院,中国人民解放军军事交通学院,198,,1785687489721387,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
陕西航空职业技术学院,陕西航空职业技术学院,199,,1785687489711115,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
山东工商学院,山东工商学院,200,,1785687489717355,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
上海立信会计金融学院,上海立信会计金融学院,201,,1785687429521411,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
井冈山大学,井冈山大学,202,,1785687429521443,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
五邑大学,五邑大学,203,,1785687429520419,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
上海电机学院,上海电机学院,204,,1785687429518371,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
